Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Artificial General Intelligence (AGI): Visual Knowledge Card,https://veda.ng/images/glossary/agi.svg,Artificial Intelligence Basics,,"Artificial General Intelligence (AGI) explained clearly. Artificial General Intelligence represents a threshold in AI development where a system matches or exceeds human-level performance across any intellectual task. This is different from narrow AI, which excels at specific, bounded tasks like playing chess or identifying images. AGI can learn, reason, and apply knowledge across multiple domains without requiring retraining for new domains. It can jump between fields, from... Read more on the glossary.",https://veda.ng/glossary/agi,,"artificial general intelligence (agi), ai, artificial intelligence, ai, glossary, definition, artificial, general, intelligence"
Large Language Model (LLM): Visual Knowledge Card,https://veda.ng/images/glossary/llm.svg,Artificial Intelligence Basics,,"Large Language Model (LLM) explained clearly. A Large Language Model is a neural network trained on massive text datasets to predict and generate human-like text. Examples include GPT-4, Claude, and Gemini. The key insight is that scale determines capability. An LLM with billions of parameters can perform tasks that smaller models cannot. It can reason through multi-step problems, write code, analyze documents, and engage in complex dialogue. The training process works like t... Read more on the glossary.",https://veda.ng/glossary/llm,,"large language model (llm), ai, artificial intelligence, ai, glossary, definition, large, language, model"
Prompt Engineering: Visual Knowledge Card,https://veda.ng/images/glossary/prompt-engineering.svg,Artificial Intelligence Basics,,"Prompt Engineering explained clearly. Prompt engineering is the craft of designing inputs to AI systems to produce desired outputs. It's become essential for working with Large Language Models because LLMs are statistical machines that respond to the structure, context, and framing of your input. An effective prompt specifies context, format requirements, constraints, and sometimes examples of what you want. For instance, asking an LLM ""Analyze this text"" yields different res... Read more on the glossary.",https://veda.ng/glossary/prompt-engineering,,"prompt engineering, ai, artificial intelligence, ai, glossary, definition, prompt, engineering"
Fine-Tuning: Visual Knowledge Card,https://veda.ng/images/glossary/fine-tuning.svg,Artificial Intelligence Basics,,"Fine-Tuning explained clearly. Fine-tuning is the process of taking a pre-trained model and continuing its training on a specialized dataset. It's a shortcut. Training a model from scratch requires massive computational resources and time. Fine-tuning reuses the foundational knowledge already learned. You start with a general model like GPT-3 and train it further on domain-specific data, medical texts, legal documents, code repositories, whatever you need. The model adapts it... Read more on the glossary.",https://veda.ng/glossary/fine-tuning,,"fine-tuning, ai, artificial intelligence, ai, glossary, definition, finetuning"
Retrieval-Augmented Generation (RAG): Visual Knowledge Card,https://veda.ng/images/glossary/rag.svg,Artificial Intelligence Basics,,"Retrieval-Augmented Generation (RAG) explained clearly. Retrieval-Augmented Generation is a technique where an LLM queries external knowledge bases before generating responses. Instead of relying solely on knowledge baked into the model during training, RAG dynamically fetches relevant information at inference time. This solves multiple problems simultaneously. First, it reduces hallucination. If the model can retrieve factual information from a reliable source, it's less lik... Read more on the glossary.",https://veda.ng/glossary/rag,,"retrieval-augmented generation (rag), ai, artificial intelligence, ai, glossary, definition, retrievalaugmented, generation"
Hallucination: Visual Knowledge Card,https://veda.ng/images/glossary/hallucination.svg,Artificial Intelligence Basics,,"Hallucination explained clearly. Hallucination is when an AI system generates plausible-sounding but completely false information. An LLM will confidently cite research papers that don't exist, invent facts about historical events, or generate fake citations. This happens because LLMs are pattern-matching systems, not knowledge databases with truth checks. They learn from their training data that certain word sequences follow others. They develop statistical associations. Whe... Read more on the glossary.",https://veda.ng/glossary/hallucination,,"hallucination, ai, artificial intelligence, ai, glossary, definition, hallucination"
Alignment: Visual Knowledge Card,https://veda.ng/images/glossary/alignment.svg,Artificial Intelligence Basics,,"Alignment explained clearly. Alignment is the problem of making AI systems pursue goals compatible with human values. It's straightforward in concept and extraordinarily difficult in practice. The core issue is that humans disagree about what we want, our values shift with context, and even when we agree on a goal, specifying it precisely is hard. The classic thought experiment is paperclip maximization. Tell an AI to maximize paperclip production and it will convert the plan... Read more on the glossary.",https://veda.ng/glossary/alignment,,"alignment, ai, artificial intelligence, ai, glossary, definition, alignment"
Constitutional AI: Visual Knowledge Card,https://veda.ng/images/glossary/constitutional-ai.svg,Artificial Intelligence Basics,,"Constitutional AI explained clearly. Constitutional AI is a training approach where an AI system evaluates its own outputs against a set of principles, a constitution, and improves through self-critique and revision. The system generates an initial response, then evaluates whether that response violates any principles in its constitution, then revises it if needed. This self-improvement loop happens without human intervention. Anthropic developed this technique as an alternat... Read more on the glossary.",https://veda.ng/glossary/constitutional-ai,,"constitutional ai, ai, artificial intelligence, ai, glossary, definition, constitutional"
Zero-Shot Learning: Visual Knowledge Card,https://veda.ng/images/glossary/zero-shot-learning.svg,Artificial Intelligence Basics,,"Zero-Shot Learning explained clearly. Zero-shot learning is when an AI system performs tasks it was never explicitly trained on, using only natural language instructions. This is an emergent capability of large models. GPT-4 can translate languages it rarely saw in training data. It can write essays about topics not in its training set. It can code in programming languages that emerged after its training. This shouldn't work, but it does. The reason is that the model learned... Read more on the glossary.",https://veda.ng/glossary/zero-shot-learning,,"zero-shot learning, ai, artificial intelligence, ai, glossary, definition, zeroshot, learning"
Reinforcement Learning from Human Feedback (RLHF): Visual Knowledge Card,https://veda.ng/images/glossary/rlhf.svg,Artificial Intelligence Basics,,"Reinforcement Learning from Human Feedback (RLHF) explained clearly. Reinforcement Learning from Human Feedback is a training technique where humans rank model outputs and the model learns to maximize human preferences. Generate multiple outputs for the same prompt, have humans rank them from best to worst, train a reward model that predicts human preferences, then use that reward model to fine-tune the original model toward generating outputs humans prefer. RLHF is how GPT-4... Read more on the glossary.",https://veda.ng/glossary/rlhf,,"reinforcement learning from human feedback (rlhf), ai, artificial intelligence, ai, glossary, definition, reinforcement, learning, from, human, feedback, rlhf"
